"filename", "language", "JSON", "Properties", "YAML", "PHP", "JavaScript", "XML", "CSS", "SCSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\sportify\resources\views\info_pista.blade.php", "PHP", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 21, 85
"c:\xampp\htdocs\sportify\resources\views\layouts\app.blade.php", "PHP", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 51, 161
"c:\xampp\htdocs\sportify\resources\views\modificar_enfrentamiento.blade.php", "PHP", 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 37, 166
"c:\xampp\htdocs\sportify\resources\views\pre-login.blade.php", "PHP", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 11, 51
"c:\xampp\htdocs\sportify\resources\views\pre-register.blade.php", "PHP", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 11, 48
"c:\xampp\htdocs\sportify\resources\views\seleccion_entidad_reserva.blade.php", "PHP", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 12, 40
"c:\xampp\htdocs\sportify\resources\views\seleccion_equipamiento_reserva.blade.php", "PHP", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 12, 34
"c:\xampp\htdocs\sportify\resources\views\seleccion_pista_reserva.blade.php", "PHP", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 12, 34
"c:\xampp\htdocs\sportify\resources\views\welcome.blade.php", "PHP", 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 28, 135
"c:\xampp\htdocs\sportify\routes\api.php", "PHP", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 10, 7, 36
"c:\xampp\htdocs\sportify\routes\channels.php", "PHP", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 10, 4, 19
"c:\xampp\htdocs\sportify\routes\console.php", "PHP", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 10, 4, 20
"c:\xampp\htdocs\sportify\routes\web.php", "PHP", 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 122, 111, 381
"c:\xampp\htdocs\sportify\server.php", "PHP", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 9, 5, 22
"c:\xampp\htdocs\sportify\tests\CreatesApplication.php", "PHP", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 6, 23
"c:\xampp\htdocs\sportify\tests\Feature\ExampleTest.php", "PHP", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 5, 22
"c:\xampp\htdocs\sportify\tests\TestCase.php", "PHP", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\xampp\htdocs\sportify\tests\Unit\ExampleTest.php", "PHP", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 5, 4, 19
"c:\xampp\htdocs\sportify\vendor\facade\ignition\resources\compiled\ignition.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 27, 0, 32
"c:\xampp\htdocs\sportify\vendor\facade\ignition\resources\compiled\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\xampp\htdocs\sportify\vendor\sebastian\diff\tests\fixtures\out\.editorconfig", "Properties", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\sportify\webpack.mix.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 10, 3, 16
"Total", "-", 16870, 18, 13, 9501, 224, 29, 13279, 17, 60, 12, 2165, 4836, 47024
